Empresa,Código(s),CNPJ,Banco escriturador
TRACK & FIELDS CO S.A.,TFCO4,59.418.806/0001-47,ITAÚ CORRETORA DE AÇÕES
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A,"TAEE3
TAEE4
TAEE11",07.859.971/0001-30,ITAÚ CORRETORA DE AÇÕES
TRÊS TENTOS AGROINDUSTRIAL S/A,TTEN3,94.813.102/0001-70,BRADESCO
TRISUL S.A.,TRIS3,08.811.643/0001-27,BRADESCO
TUPY S.A.,TUPY3,84.683.374/0001-49,BRADESCO
ULTRAPAR PARTICIPAÇÕES S.A.,UGPA3,33.256.439/0001-39,BRADESCO
UNICASA INDÚSTRIA DE MÓVEIS S.A.,UCAS3,90.441.460/0001-48,BRADESCO
UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,02.255.187/0001-08,BRADESCO
UNIPAR CARBOCLORO S.A.,"UNIP3
UNIP5
UNIP6",33.958.695/0001-78,ITAÚ CORRETORA DE AÇÕES
USINAS SID DE MINAS GERAIS S.A. – USIMINAS,"USIM3
USIM5
USIM6",60.894.730/0001-05,BRADESCO
VALE S.A.,VALE3,33.592.510/0001-54,BRADESCO
VALID SOLUÇÕES S.A.,"VLID3
VLID11",33.113.309/0001-47,BANCO DO BRASIL
"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.",VAMO3,23.373.000/0001-32,BRADESCO
VIA S.A.,VIIA3,33.041.260/0652-90,ITAÚ CORRETORA DE AÇÕES
VIBRA ENERGIA S.A.,VBBR3,34.274.233/0001-02,BRADESCO
VITTIA FERTILIZANTES BIOLÓGICOS S.A.,VITT3,45.365.558/0001-09,BRADESCO
VIVARA PARTICIPAÇÕES S.A.,VIVA3,33.839.910/0001-11,ITAÚ CORRETORA DE AÇÕES
VIVER INCORPORADORA E CONSTRUTORA S.A.,VIVR3,67.571.414/0001-41,ITAÚ CORRETORA DE AÇÕES
VULCABRAS S.A.,VULC3,50.926.955/0001-42,BRADESCO
WEG S.A.,WEGE3,84.429.695/0001-11,BRADESCO
WESTWING COMÉRCIO VAREJISTA S.A.,WEST3,14.776.142/0001-50,ITAÚ CORRETORA DE AÇÕES
WILSON SONS HOLDINGS BRASIL S.A.,PORT3,33.130.691/0001-05,ITAÚ CORRETORA DE AÇÕES
WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZS3,42.278.473/0001-03,BRADESCO
YDUQS PARTICIPAÇÕES S.A.,YDUQ3,08.807.432/0001-10,ITAÚ CORRETORA DE AÇÕES
